Rollno	Branch	Quiz1	Quiz2	Midsem	Lab	Endsem
r36753562	ZZ	49	21	62	27	90
r36062618	YY	67	29	82	30	62
r75922897	YY	93	56	11	42	29
r19478450	YY	13	26	91	80	56
r20615547	XX	36	5	46	29	13
r45254744	YY	43	50	87	8	76
r84314920	WW	76	68	39	12	26
r49504871	WW	97	2	17	92	52
r10615949	WW	40	29	31	17	97
r15977673	ZZ	86	65	6	83	19
r81293908	YY	8	15	40	49	96
r85611598	VV	64	28	41	50	93
r44447631	WW	27	65	59	36	32
r78574185	YY	29	37	35	93	18
r31896433	YY	13	38	6	40	4
r88977643	VV	70	83	90	99	72
r40594692	ZZ	42	64	97	7	55
r81289368	WW	40	22	11	10	5
r10850646	YY	22	65	8	16	82
r47240629	WW	79	50	68	71	73
r10340391	YY	99	96	59	73	13
r05664004	WW	76	42	36	7	45
r98728299	WW	36	10	42	87	6
r32159914	YY	39	11	40	67	5
r70480429	XX	96	81	30	84	92
r20552902	VV	98	13	98	90	24
r91962544	VV	79	69	73	76	50
r02943517	ZZ	4	13	61	54	26
r42264128	YY	28	89	72	8	58
r68383338	ZZ	90	54	67	46	68
r06879033	VV	63	97	53	92	86
r26587960	XX	14	21	60	4	28
r08624793	WW	39	2	28	3	0
r78915492	ZZ	15	27	4	29	49
r59357081	VV	49	89	67	88	92
r34902019	XX	26	32	61	42	60
r31190567	XX	77	34	90	26	24
r48582606	ZZ	26	94	16	52	78
r60701013	VV	57	27	12	86	14
r20290994	YY	55	41	20	33	87
r86046760	YY	49	37	5	59	17
r53383793	ZZ	7	78	57	14	71
r09885843	ZZ	57	81	93	58	70
r79932437	WW	31	62	82	90	92
r75174171	VV	31	21	37	40	54
r85166219	WW	96	4	38	80	18
r02297564	ZZ	76	83	7	59	57
r91706085	ZZ	63	49	44	11	5
r15549838	VV	5	82	22	82	17
r34636334	VV	14	13	79	77	62
r89024765	YY	37	91	53	43	73
r51087635	WW	90	58	30	4	71
r35934150	ZZ	68	3	85	6	95
r90763761	YY	65	60	36	55	70
r12269104	XX	72	27	34	40	83
r80370034	VV	59	22	47	24	82
r24438608	YY	59	62	62	83	41
r34224517	YY	65	47	71	76	69
r13337986	YY	97	20	84	8	34
r16852199	ZZ	6	10	16	24	9
r08931489	WW	26	67	47	23	87
r22150904	WW	50	31	13	57	94
r13032175	WW	96	25	4	22	92
r72416578	WW	95	99	62	97	83
r47972216	WW	63	60	82	11	85
r50034660	VV	92	25	28	39	25
r60837821	VV	10	55	88	25	15
r73823077	ZZ	27	26	69	71	51
r08988037	XX	90	76	99	52	31
r79762715	VV	68	98	84	95	76
r68488387	VV	55	72	74	45	0
r73272134	XX	39	34	21	59	85
r41221620	YY	62	82	99	17	54
r56140312	VV	37	37	59	28	71
r76010251	XX	69	17	61	83	51
r06874924	YY	4	75	79	41	12
r96064094	ZZ	65	14	26	86	83
r95213099	VV	31	73	64	35	48
r73389553	WW	68	56	60	33	23
r18705110	ZZ	23	50	0	54	75
r24999498	YY	51	76	83	19	33
r46156172	XX	92	29	2	68	31
r47863772	XX	73	57	62	25	33
r68136403	ZZ	85	48	5	30	29
r80249012	VV	10	80	26	83	89
r83873100	VV	5	90	13	91	38
r17910359	XX	24	88	54	86	69
r90303379	ZZ	94	49	99	51	39
r20659561	XX	11	34	33	87	22
r33924449	ZZ	59	63	18	53	12
r54394955	XX	87	53	69	50	87
r72905041	WW	57	29	3	16	92
r25391887	WW	0	45	82	87	99
r96368466	VV	7	92	17	64	21
r06443734	VV	17	12	31	17	9
r68955215	WW	69	59	1	76	52
r05321976	YY	78	12	50	96	24
r36904851	VV	42	39	37	63	98
r92318741	VV	46	83	38	25	95
r12648562	YY	45	72	46	39	11
r31526944	XX	96	30	67	94	13
r90022690	WW	53	35	95	98	7
r70604130	YY	92	9	96	40	39
r54364319	WW	51	30	39	4	65
r25917741	XX	61	19	31	53	28
r49313879	VV	43	38	88	94	20
r86823850	VV	5	79	42	66	98
r28367872	VV	16	86	12	59	77
r37235178	YY	49	54	61	6	34
r54873350	XX	81	14	85	97	0
r89939464	WW	85	75	65	86	30
r26992965	YY	95	33	28	76	47
r60269308	VV	97	16	75	82	44
r06854946	XX	8	53	62	3	86
r24704965	WW	84	96	24	82	65
r61377121	YY	60	88	79	20	41
r48582206	XX	63	66	11	0	15
r42003390	ZZ	94	93	13	54	82
r53811315	XX	68	81	13	83	99
r54496721	WW	40	11	23	87	57
r39104118	XX	96	34	83	64	67
r07453072	XX	49	29	23	90	92
r99520835	VV	39	66	25	36	53
r20747301	YY	26	97	5	27	78
r90780310	XX	83	16	67	23	82
r15338285	YY	98	60	68	76	9
r37437139	ZZ	96	44	42	80	12
r57464912	YY	73	1	38	71	13
r92451001	XX	23	3	0	20	0
r22479854	WW	17	58	36	90	60
r43758109	YY	63	0	32	86	4
r86708198	VV	41	46	74	58	5
r15970628	XX	99	5	0	62	57
r81779798	XX	28	39	18	70	85
r02437300	VV	21	85	88	20	90
r47531420	YY	91	63	20	20	54
r22024584	ZZ	80	8	44	2	45
r27575228	WW	96	86	30	40	49
r26948282	VV	57	88	76	37	97
r94542239	ZZ	36	15	17	84	53
r44060228	ZZ	64	23	41	21	11
r00025769	VV	81	39	58	17	6
r11485766	XX	69	61	34	33	36
r69760907	WW	86	86	8	67	77
r65376972	ZZ	96	34	40	17	95
r01280152	ZZ	90	47	61	76	34
r53511007	WW	0	88	61	96	74
r49862252	VV	33	2	77	23	49
r15069792	YY	28	49	99	28	89
r63604496	VV	76	84	71	9	38
r49055016	ZZ	50	62	28	78	64
r83449175	VV	57	36	42	34	72
r50529776	XX	58	1	2	60	63
r87463804	WW	69	7	59	27	95
r37809521	XX	43	12	7	53	13
r38616091	ZZ	69	81	95	90	89
r96824653	ZZ	14	87	64	57	51
r04833461	ZZ	45	25	94	66	6
r67564300	VV	82	55	73	48	95
r56673408	VV	90	68	61	35	93
r11401185	VV	47	48	75	81	56
r91249014	YY	64	43	72	55	11
r26069680	ZZ	28	46	97	75	94
r60553915	ZZ	80	24	19	96	67
r30966045	VV	58	52	8	86	98
r34017780	ZZ	78	29	7	58	53
r72502480	WW	26	2	86	85	6
r34171308	YY	92	69	0	71	50
r16788213	WW	18	59	23	45	14
r22779140	YY	44	57	78	37	26
r08614525	YY	39	33	48	58	44
r50593462	VV	55	93	42	0	50
r98096721	YY	14	24	58	54	9
r44196809	VV	63	6	63	18	99
r01719826	ZZ	17	55	79	83	79
r79735041	WW	99	84	11	14	43
r42276185	ZZ	41	31	63	10	86
r47538273	VV	15	13	17	14	98
r01645831	ZZ	52	42	9	45	25
r63120651	WW	89	74	44	56	88
r08129886	ZZ	38	42	50	42	84
r81564686	ZZ	13	35	47	54	62
r02720161	ZZ	99	4	89	89	46
r42023689	VV	92	18	76	57	53
r35959799	XX	80	95	32	31	0
r06369484	XX	50	48	44	94	18
r42779939	VV	48	54	70	28	50
r90918287	YY	6	68	54	8	69
r37071963	WW	40	71	64	88	26
r66178296	YY	65	99	4	23	67
